Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Albania,ALB,Rank: Getting credit (1=most business-friendly regulations),IC.CRED.ACC.CRD.RK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48
Albania,ALB,Rank: Starting a business (1=most business-friendly regulations),IC.REG.STRT.BUS.RK.DB19,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53
Albania,ALB,Starting a business - Score,IC.REG.STRT.BUS.DFRN,63.7,67.3,67.2,69,68.2,82,87.2,87.3,87.6,90.2,90.3,91.7,91.7,91.4,91.5,91.7,91.8
Albania,ALB,Starting a business: Cost - Men (% of income per capita),IC.REG.COST.PC.MA.ZS,57.1,32.3,31.3,22.5,46.1,42.5,32.2,31.8,29.3,22.4,21.2,10.1,10.3,12.5,12,11.3,10.8
Albania,ALB,Starting a business: Cost - Women (% of income per capita),IC.REG.COST.PC.FE.ZS,57.1,32.3,31.3,22.5,46.1,42.5,32.2,31.8,29.3,22.4,21.2,10.1,10.3,12.5,12,11.3,10.8
Albania,ALB,Starting a business: Procedures required - Men (number),IC.REG.PROC.MA.NO,12,12,12,12,11,8,6,6,6,5,5,5,5,5,5,5,5
Albania,ALB,Starting a business: Procedures required - Women (number),IC.REG.PROC.FE.NO,12,12,12,12,11,8,6,6,6,5,5,5,5,5,5,5,5
Algeria,DZA,Ease of doing business score (DB15 methodology),IC.BUS.EASE.DFRN.DB15,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Getting credit (DB05-14 methodology) - Score,IC.CRED.ACC.CRD.DB0514.DFRN,..,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,..,..,..,..,..,..
Algeria,DZA,Getting credit (DB15-20 methodology) - Score,IC.CRED.ACC.CRD.DB1519.DFRN,..,..,..,..,..,..,..,..,..,..,10,10,10,10,10,10,10
Algeria,DZA,Getting electricity (DB16-20 methodology) - Score,IC.ELC.ACES.DFRN.DB1619,..,..,..,..,..,..,..,..,..,..,..,57.5,57.6,60.6,62,71.9,72.1
Algeria,DZA,Getting electricity (DB10-15 methodology) - Score,IC.ELC.ACES.DFRN.DB1015,..,..,..,..,..,..,62,61.3,62.1,62.5,59,60,..,..,..,..,..
Algeria,DZA,Getting electricity: Cost to get electricity (% of income per capita),IC.ELC.ACS.COST,..,..,..,..,..,..,1599,1777.3,1581.5,1492.1,1565.2,1320.5,1295.5,1330.4,863.1,1048.4,967
Algeria,DZA,Getting electricity: Price of electricity (US cents per kWh) (DB16-20 methodology),IC.ELC.PRI.KH.DB1619,..,..,..,..,..,..,..,..,..,..,..,2.7,2.7,3,2.6,2.2,2.1
Algeria,DZA,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,..,..,..,..,..,..,..,..,..,..,..,..,44.2,46.1,46.2,48.5,48.6
Algeria,DZA,Global: Ease of doing business score (DB15 methodology),IC.BUS.EASE.DFRN.DB16,..,..,..,..,..,..,..,..,..,..,46.9,47.7,..,..,..,..,..
Algeria,DZA,Global: Ease of doing business score (DB10-14 methodology),IC.BUS.EASE.DFRN.DB1014,..,..,..,..,..,..,48.8,48.4,48.7,49.1,48.7,..,..,..,..,..,..
Algeria,DZA,Getting electricity: Total duration and frequency of outages per customer a year (0-3) (DB16-20 methodology),IC.ELC.OUTG.FREQ.DURS.03.DB1619,..,..,..,..,..,..,..,..,..,..,..,1,1,1,1,1,1
Algeria,DZA,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,157
Algeria,DZA,Rank: Getting credit (1=most business-friendly regulations),IC.CRED.ACC.CRD.RK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,181
Algeria,DZA,Rank: Starting a business (1=most business-friendly regulations),IC.REG.STRT.BUS.RK.DB19,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,152
Algeria,DZA,Starting a business - Score,IC.REG.STRT.BUS.DFRN,68.1,70.5,72,72.4,72.5,73.3,73.5,73.2,73.5,73.7,73.6,74.6,76.6,78,77.9,77.9,78
Algeria,DZA,Starting a business: Cost - Men (% of income per capita),IC.REG.COST.PC.MA.ZS,16.3,14.6,12.4,13.4,13.2,10.8,12.1,12.9,12.1,12.1,12.4,11,10.9,11.1,12.5,11.8,11.3
Algeria,DZA,Starting a business: Cost - Women (% of income per capita),IC.REG.COST.PC.FE.ZS,16.3,14.6,12.4,13.4,13.2,10.8,12.1,12.9,12.1,12.1,12.4,11,10.9,11.1,12.5,11.8,11.3
Algeria,DZA,Starting a business: Procedures required - Men (number),IC.REG.PROC.MA.NO,14,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12
Algeria,DZA,Starting a business: Procedures required - Women (number),IC.REG.PROC.FE.NO,14,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12
Angola,AGO,Ease of doing business score (DB15 methodology),IC.BUS.EASE.DFRN.DB15,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Getting credit (DB05-14 methodology) - Score,IC.CRED.ACC.CRD.DB0514.DFRN,..,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,18.8,..,..,..,..,..,..
Angola,AGO,Getting credit (DB15-20 methodology) - Score,IC.CRED.ACC.CRD.DB1519.DFRN,..,..,..,..,..,..,..,..,..,..,5,5,5,5,5,5,5
Angola,AGO,Getting electricity (DB16-20 methodology) - Score,IC.ELC.ACES.DFRN.DB1619,..,..,..,..,..,..,..,..,..,..,..,42.5,42.6,40.8,44.1,54.1,54.1
Angola,AGO,Getting electricity (DB10-15 methodology) - Score,IC.ELC.ACES.DFRN.DB1015,..,..,..,..,..,..,41.7,41,42.6,56.3,56.5,56.7,..,..,..,..,..
Angola,AGO,Getting electricity: Cost to get electricity (% of income per capita),IC.ELC.ACS.COST,..,..,..,..,..,..,1098,1276.6,888.5,755.8,690.5,660.7,615.7,1196.5,989.9,786.5,623.3
Angola,AGO,Getting electricity: Price of electricity (US cents per kWh) (DB16-20 methodology),IC.ELC.PRI.KH.DB1619,..,..,..,..,..,..,..,..,..,..,..,4.7,4.6,8.8,6,4.6,3.7
Angola,AGO,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,..,..,..,..,..,..,..,..,..,..,..,..,37.6,37.7,39,41.2,41.3
Angola,AGO,Global: Ease of doing business score (DB15 methodology),IC.BUS.EASE.DFRN.DB16,..,..,..,..,..,..,..,..,..,..,39.2,39.4,..,..,..,..,..
Angola,AGO,Global: Ease of doing business score (DB10-14 methodology),IC.BUS.EASE.DFRN.DB1014,..,..,..,..,..,..,37,36.9,40.3,42.9,42.7,..,..,..,..,..,..
Angola,AGO,Getting electricity: Total duration and frequency of outages per customer a year (0-3) (DB16-20 methodology),IC.ELC.OUTG.FREQ.DURS.03.DB1619,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,1,0
Angola,AGO,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,177
Angola,AGO,Rank: Getting credit (1=most business-friendly regulations),IC.CRED.ACC.CRD.RK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,185
Angola,AGO,Rank: Starting a business (1=most business-friendly regulations),IC.REG.STRT.BUS.RK.DB19,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,146
Angola,AGO,Starting a business - Score,IC.REG.STRT.BUS.DFRN,13.1,13.1,31.8,33.5,34.9,45.7,52,46.5,51.3,53.8,55.6,57.1,77.5,79.7,78.6,79,79.4
Angola,AGO,Starting a business: Cost - Men (% of income per capita),IC.REG.COST.PC.MA.ZS,1316.4,910,653.8,498.2,343.7,196.8,151.1,226.6,163.1,143.1,130.1,118.8,17,20.7,17.4,13.9,11.1
Angola,AGO,Starting a business: Cost - Women (% of income per capita),IC.REG.COST.PC.FE.ZS,1316.4,910,653.8,498.2,343.7,196.8,151.1,226.6,163.1,143.1,130.1,118.8,17,20.7,17.4,13.9,11.1
Angola,AGO,Starting a business: Procedures required - Men (number),IC.REG.PROC.MA.NO,12,12,12,12,12,8,8,8,8,8,8,8,8,7,8,8,8
